Index,HR,Name,Bayer,SHA_deg,Dec_deg,AppMag
1,15,Alpheratz,α Andromedae,358,29,02.06
2,99,Ankaa,α Phoenicis,354,-42,2.37
3,168,Schedar,α Cassiopeiae,350,56,2.25
4,188,Diphda,β Ceti,349,-18,02.04
5,472,Achernar,α Eridani,336,-57,0.50
6,617,Hamal,α Arietis,328,23,2.00
7,897,Acamar,θ Eridani,316,-40,3.2
8,911,Menkar,α Ceti,315,4,2.5
9,1017,Mirfak,α Persei,309,50,1.82
10,1457,Aldebaran,α Tauri,291,16,0.85
11,1713,Rigel,β Orionis,282,-8,0.12
12,1708,Capella,α Aurigae,281,46,0.71
13,1790,Bellatrix,γ Orionis,279,6,1.64
14,1791,Elnath,β Tauri,279,29,1.68
15,1903,Alnilam,ε Orionis,276,-1,1.70
16,2061,Betelgeuse,α Orionis,271,7,0.58
17,2326,Canopus,α Carinae,264,-53,−0.72
18,2491,Sirius,α Canis Majoris,259,-17,−1.47
19,2618,Adhara,ε Canis Majoris,256,-29,1.51
20,2943,Procyon,α Canis Minoris,245,5,0.34
21,2990,Pollux,β Geminorum,244,28,1.15
22,3307,Avior,ε1 Carinae,234,-59,2.4
23,3634,Suhail,λ Velorum,223,-43,2.23
24,3685,Miaplacidus,β Carinae,222,-70,1.70
25,3748,Alphard,α Hydrae,218,-9,2.00
26,3982,Regulus,α Leonis,208,12,1.35
27,4301,Dubhe,α1 Ursae Majoris,194,62,1.87
28,4534,Denebola,β Leonis,183,15,2.14
29,4662,Gienah,γ Corvi,176,-17,2.80
30,4730,Acrux,α1 Crucis,174,-63,1.40
31,4763,Gacrux,γ Crucis,172,-57,1.63
32,4905,Alioth,ε Ursae Majoris,167,56,1.76
33,5056,Spica,α Virginis,159,-11,01.04
34,5191,Alkaid,η Ursae Majoris,153,49,1.85
35,5267,Hadar,β Centauri,149,-60,0.60
36,5288,Menkent,θ Centauri,149,-36,02.06
38,5459,Rigil Kentaurus,α1 Centauri,140,-61,−0.01
37,5340,Arcturus,α Bootis,146,19,−0.04
39,5530,Zubenelgenubi,α Librae,138,-16,3.28
40,5563,Kochab,β Ursae Minoris,137,74,02.08
41,5793,Alphecca,α Corona Borealis,127,27,2.24
42,6134,Antares,α Scorpii,113,-26,01.09
43,6217,Atria,α Trianguli Australis,108,-69,1.92
44,6378,Sabik,η Ophiuchi,103,-16,2.43
45,6527,Shaula,λ Scorpii,97,-37,1.62
46,6556,Rasalhague,α Ophiuchi,96,13,2.10
47,6705,Eltanin,γ Draconis,91,51,2.23
48,6879,Kaus Australis,ε Sagittarii,84,-34,1.80
49,7001,Vega,α Lyrae,81,39,0.03
50,7121,Nunki,σ Sagittarii,76,-26,02.06
51,7557,Altair,α Aquilae,63,9,0.77
52,7790,Peacock,α Pavonis,54,-57,1.91
53,7924,Deneb,α Cygni,50,45,1.25
54,8308,Enif,ε Pegasi,34,10,2.40
55,8425,Al Na'ir,α Gruis,28,-47,1.74
56,8728,Fomalhaut,α Piscis Austrini,16,-30,1.16
57,8781,Markab,α Pegasi,14,15,2.49
58,424,Polaris,α Ursae Minoris,319,89,02.01